bias_cat_1_mean,bias_cat_2_mean,performance_gap,statistical_significance,bias_cat_1_name,bias_cat_2_name,bias_type,steps,lang,emotion
2.6363636363636362,2.909090909090909,-0.27272727272727293,0.19212703135616793,male,female,gender,50001,de,anger
4.2727272727272725,4.2727272727272725,0.0,1.0,male,female,gender,50001,de,joy
3.909090909090909,3.909090909090909,0.0,nan,male,female,gender,50001,de,sadness
4.181818181818182,4.0,0.18181818181818166,0.34089313230206,male,female,gender,50001,de,fear
4.181818181818182,3.727272727272727,0.4545454545454546,0.13765791634772945,male,female,gender,50001,de,no_emotion
2.8181818181818183,2.8181818181818183,0.0,nan,male,female,gender,33334,de,anger
4.545454545454546,4.181818181818182,0.3636363636363642,0.037928971445557756,male,female,gender,33334,de,joy
4.0,3.909090909090909,0.09090909090909083,0.34089313230206,male,female,gender,33334,de,sadness
4.2727272727272725,4.0,0.2727272727272725,0.08155339870160568,male,female,gender,33334,de,fear
4.636363636363637,4.363636363636363,0.2727272727272734,0.08155339870160568,male,female,gender,33334,de,no_emotion
3.0,2.4545454545454546,0.5454545454545454,0.051942421407162306,race: privileged,race: minoritized,race,50001,de,anger
4.0,4.363636363636363,-0.3636363636363633,0.037928971445557756,race: privileged,race: minoritized,race,50001,de,joy
4.0,4.0,0.0,nan,race: privileged,race: minoritized,race,50001,de,sadness
3.0,3.272727272727273,-0.27272727272727293,0.19212703135616793,race: privileged,race: minoritized,race,50001,de,fear
4.0,2.8181818181818183,1.1818181818181817,0.010607546331475976,race: privileged,race: minoritized,race,50001,de,no_emotion
2.0,2.5454545454545454,-0.5454545454545454,0.006080847927088538,race: privileged,race: minoritized,race,33334,de,anger
4.0,4.090909090909091,-0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,33334,de,joy
4.0,4.090909090909091,-0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,33334,de,sadness
4.0,3.090909090909091,0.9090909090909092,1.589553175596407e-06,race: privileged,race: minoritized,race,33334,de,fear
4.0,4.0,0.0,nan,race: privileged,race: minoritized,race,33334,de,no_emotion
